Spotify ID,Artist IDs,song,Album Name,artist,Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0onv9ZfIx8aknWReDO1PCu,6hjwMyRlrBjgwFPZIIewmz,Earth Om (Sacred Resonance),A Warning From the Elders,Byron Metcalf,01-01-2007,801133,35,spotify:user:1220931509,2022-09-07T19:09:56Z,"didgeridoo,meditation",0.147,0.24,11,-23.253,1,0.0376,0.929,0.973,0.0671,0.0396,73.149,4
1SHgWHzhTiaBUE4GPZqSHc,"00DkRCKgM6Ku90WtOfoYlw,1bs286UUnvo0aH5N0nmZEX",Bija Mantras-Watering the Seeds,Loveland: Music For Dreaming and Awakening,"Jai Uttal,Ben Leinbach",2006,595586,0,spotify:user:1220931509,2022-09-07T19:11:10Z,"kirtan,world fusion,meditation",0.0716,0.222,4,-13.127,1,0.0409,0.983,0.877,0.0913,0.0295,71.292,3
0IkkPCnPEO3czdAe7BEm50,"00gh6kmKYOu8xyorRxQm6a,6hjwMyRlrBjgwFPZIIewmz,6dD0fVmFddCvKfO8jcHMPp",Nada Terma 1,Nada Terma,"Steve Roach,Byron Metcalf,Mark Seelig",21-10-2008,360906,0,spotify:user:1220931509,2018-04-03T20:35:40Z,"ambient,moog,didgeridoo,meditation",0.0611,0.12,5,-23.993,1,0.0412,0.93,0.976,0.0777,0.0309,60.794,4
34lzUDwy7hfbd008TaL9JU,1DCxXQ2SuP53BmOZVnOiZz,Dark Temple,Tibetan Gongs And Atmospheres,Tibetan Gongs,31-07-2006,632000,0,spotify:user:1220931509,2018-03-30T18:11:05Z,meditation,0.116,0.0212,1,-30.802,1,0.0457,0.969,0.858,0.0971,0.0273,66.027,5
4uAh2tq5Hme2BMJedhU4vG,"3ohmouyL3xWW70OiC5ATDI,5yUtOYdnxxWdcIoZM1dx68",Calling Spirits,Prana Pulse,"Shaman's Dream,Bluetech",11-09-2012,500935,28,spotify:user:1220931509,2023-01-10T21:18:14Z,"healing,high vibe,shamanic,world fusion,downtempo,psychill,psydub",0.214,0.227,2,-22.174,1,0.0357,0.852,0.906,0.113,0.0396,129.904,3
4D7ZqCkALUmHHy9GBK9gbS,0LdyFi9dTyBQV8980lOzMw,Bengali Beauty,SamSaRa,Karmacosmic,29-04-2022,399428,3,spotify:user:1220931509,2023-02-22T01:51:12Z,"healing,meditation",0.104,0.157,2,-20.061,1,0.0413,0.98,0.845,0.245,0.0386,76.181,4
1CofRHm9js6lOifjvBuM49,3ux92I3CgfnhgLyYNsXIwZ,Seeking Eden,Nest,Robert Rich,01-10-2012,486093,28,spotify:user:1220931509,2023-07-28T12:59:26Z,"ambient,ambient industrial,drone,fourth world,microtonal",0.167,0.138,6,-22.314,1,0.0398,0.976,0.956,0.113,0.0309,69.176,4
1NHNVCp0HcQJX97zrC7aat,"10LLaI6A4jACT6M5ddEEFg,7ETcoV7VniCB1EvWjtbMMU,25fjGNyVfjtes1KDulSKME",Raag Bhairavi - Dhun,Call Of The Divine -Magical Flute of Rakesh Chaurasia,"Rakesh Chaurasia,Vijay Ghate,Bhavani Shankar",01-09-2013,458573,27,spotify:user:,2023-11-14T08:04:21Z,"bansuri,hindustani classical,hindustani instrumental,indian classical,tabla,indian percussion",0.395,0.5,4,-11.132,0,0.035,0.977,0.889,0.235,0.36,101.447,1
5CMW3bF5enCbAFV4aZTbec,"2GUxWjR8cNgljddVLEp72u,3PwzNTwCiUHdV5hWjwaTfD,6DDCjHWtL6jTl1B5wG8tF6,3gS4uNbTzraFAoJDWA2r4l",Raga Sindhi Bhairavi: Dadra Tal (6 beats),Raga Sindhi Bhairavi,"Ali Akbar Khan,L. Subramaniam,Zakir Hussain,Ramnad Raghavan",01-01-1993,711933,40,spotify:user:,2023-11-14T08:04:21Z,"dhrupad,hindustani classical,hindustani instrumental,indian classical,sarod,carnatic,indian violin,jazz violin,filmi,indian percussion,tabla,carnatic instrumental",0.439,0.00577,0,-26.633,0,0.0448,0.991,0.0461,0.0995,0.226,137.618,4
33FhprDQkLTQxu2MQz2hTT,51OgTOMeriyJbz07cpve3u,Raga Bhairavi,The Spirit of Yoga,Sangit Om,01-12-2009,311106,35,spotify:user:,2023-11-14T08:04:21Z,meditation,0.164,0.168,8,-15.01,0,0.0389,0.989,0.77,0.164,0.113,64.357,3
